Pathway id	Species	Pathway name
168276	Homo sapiens	 NS1 Mediated Effects on Host Pathways
164843	Homo sapiens	2-LTR circle formation
157279	Homo sapiens	3' -UTR-mediated translational regulation
5695209	Dictyostelium discoideum	3' -UTR-mediated translational regulation
5699377	Plasmodium falciparum	3' -UTR-mediated translational regulation
5709309	Schizosaccharomyces pombe	3' -UTR-mediated translational regulation
5719698	Saccharomyces cerevisiae	3' -UTR-mediated translational regulation
5751831	Caenorhabditis elegans	3' -UTR-mediated translational regulation
5811986	Sus scrofa	3' -UTR-mediated translational regulation
5869863	Bos taurus	3' -UTR-mediated translational regulation
5931571	Canis familiaris	3' -UTR-mediated translational regulation
5991460	Mus musculus	3' -UTR-mediated translational regulation
6051971	Rattus norvegicus	3' -UTR-mediated translational regulation
6139559	Taeniopygia guttata	3' -UTR-mediated translational regulation
6195691	Xenopus tropicalis	3' -UTR-mediated translational regulation
6272882	Danio rerio	3' -UTR-mediated translational regulation
6322942	Drosophila melanogaster	3' -UTR-mediated translational regulation
6350816	Arabidopsis thaliana	3' -UTR-mediated translational regulation
6378790	Oryza sativa	3' -UTR-mediated translational regulation
73843	Homo sapiens	5-Phosphoribose 1-diphosphate biosynthesis
5694940	Dictyostelium discoideum	5-Phosphoribose 1-diphosphate biosynthesis
5699268	Plasmodium falciparum	5-Phosphoribose 1-diphosphate biosynthesis
5709103	Schizosaccharomyces pombe	5-Phosphoribose 1-diphosphate biosynthesis
5719490	Saccharomyces cerevisiae	5-Phosphoribose 1-diphosphate biosynthesis
5751569	Caenorhabditis elegans	5-Phosphoribose 1-diphosphate biosynthesis
5811648	Sus scrofa	5-Phosphoribose 1-diphosphate biosynthesis
5931229	Canis familiaris	5-Phosphoribose 1-diphosphate biosynthesis
5991108	Mus musculus	5-Phosphoribose 1-diphosphate biosynthesis
6051626	Rattus norvegicus	5-Phosphoribose 1-diphosphate biosynthesis
6095990	Gallus gallus	5-Phosphoribose 1-diphosphate biosynthesis
6139230	Taeniopygia guttata	5-Phosphoribose 1-diphosphate biosynthesis
6272544	Danio rerio	5-Phosphoribose 1-diphosphate biosynthesis
6322645	Drosophila melanogaster	5-Phosphoribose 1-diphosphate biosynthesis
6350582	Arabidopsis thaliana	5-Phosphoribose 1-diphosphate biosynthesis
6378550	Oryza sativa	5-Phosphoribose 1-diphosphate biosynthesis
1971475	Homo sapiens	A tetrasaccharide linker sequence is required for GAG synthesis
5752371	Caenorhabditis elegans	A tetrasaccharide linker sequence is required for GAG synthesis
5812746	Sus scrofa	A tetrasaccharide linker sequence is required for GAG synthesis
5870638	Bos taurus	A tetrasaccharide linker sequence is required for GAG synthesis
5932344	Canis familiaris	A tetrasaccharide linker sequence is required for GAG synthesis
5992239	Mus musculus	A tetrasaccharide linker sequence is required for GAG synthesis
6052749	Rattus norvegicus	A tetrasaccharide linker sequence is required for GAG synthesis
6097049	Gallus gallus	A tetrasaccharide linker sequence is required for GAG synthesis
6140283	Taeniopygia guttata	A tetrasaccharide linker sequence is required for GAG synthesis
6196432	Xenopus tropicalis	A tetrasaccharide linker sequence is required for GAG synthesis
6273634	Danio rerio	A tetrasaccharide linker sequence is required for GAG synthesis
6323538	Drosophila melanogaster	A tetrasaccharide linker sequence is required for GAG synthesis
157212	Homo sapiens	A third proteolytic cleavage releases NICD
5811995	Sus scrofa	A third proteolytic cleavage releases NICD
