DB_ID	DisplayName	Old_Start	Old_End	New_Start	New_End
201710	Wnt-3a [extracellular region]	1	-1	19	352
2184307	Collagen alpha-1(XXIV) -N propeptide [endoplasmic reticulum lumen]	1	-1	36	1714
49925	AMP deaminase isoform M [cytosol]	1	-1	1	780
428661	SGPL1 [endoplasmic reticulum membrane]	1	-1	1	568
2470051	5-Gal-Hyl collagen alpha-3(V) chain N-term fragment [extracellular region]	-1	-1	30	1745
2471917	3,4-Hyp 5-Hyl-collagen alpha-1(XIII) chain ectodomain [extracellular region]	-1	-1	1	717
2468250	4-Hyp 5-Hyl collagen alpha-5(IV) chain C-term fragment [extracellular region]	-1	-1	27	1685
68808	26S proteasome non-ATPase regulatory subunit 8 [cytosol]	1	-1	1	350
83695	TFIIC110 [nucleoplasm]	1	-1	1	911
2173143	4-Hyp 5-Hyl-collagen alpha-1(VIII) chain [endoplasmic reticulum lumen]	1	-1	28	744
532200	Beta 2 subunit of VGCC [plasma membrane]	1	-1	1	660
1964457	HsRPC9 [cytosol]	1	-1	2	596
430348	Phospho-Ser273 Paxillin [cytosol]	1	-1	1	591
2028603	AMOTL1 [cytosol]	1	-1	1	956
139883	VEGF-B [platelet alpha granule lumen]	1	-1	22	207
450469	14-3-3zeta [nucleoplasm]	1	-1	1	245
936957	p-T342,T345,S346- IRAK4 [plasma membrane]	null	null	1	460
2470892	3,4-hydroxyprolyl-collagen alpha-1(XVIII) endostatin-like fragment [extracellular region]	1	-1	24	1754
177676	NFkB3 [nucleoplasm]	null	null	1	551
200404	Inactive phospho-ACC 2 [cytosol]	1	-1	1	2458
2130394	AP-1 sigma 1B [trans-Golgi network membrane]	null	null	1	157
171024	Phospho-MAP kinase p38 alpha isoform 1 [cytosol]	1	-1	2	360
2173151	4-Hyp 5-Hyl-collagen alpha-1(XIV) chain [endoplasmic reticulum lumen]	1	-1	29	1796
74680	SHC1 p66 [cytosol]	1	-1	1	583
2470362	3,4-hydroxyprolyl-collagen alpha-1(VIII) chain N-term fragment [extracellular region]	1	-1	28	744
2314694	Ac-PTGS1 [endoplasmic reticulum membrane]	1	-1	24	599
2192722	4-Hyp Glu-Gal-Hyl-collagen alpha-1(XIII) chain [extracellular region]	1	-1	1	717
2470533	3,4-Hyp 5-Gal-Hyl-collagen alpha-1(X) chain C-term fragment [extracellular region]	-1	-1	19	680
2268734	3,4-Hyp 5-Hyl-collagen alpha-1(XXVII) -N propeptide [extracellular region]	1	-1	625	1621
159004	plasminogen activator inhibitor 2 [plasma membrane]	1	-1	1	415
168795	Synaptotagmin 2 [plasma membrane]	null	null	1	419
167700	AP-1 mu 1 [cytosol]	null	null	2	423
2470375	4-Hyp 5-Gal-Hyl-collagen alpha-1(VIII) chain C-term fragment [extracellular region]	1	-1	28	744
379586	RARS [cytosol]	1	-1	1	660
2172975	3,4-hydroxyprolyl-collagen alpha-1(XIX) chain [endoplasmic reticulum lumen]	1	-1	24	1142
2192841	4-Hyp 5-Hyl-collagen alpha-1(XVII) chain [plasma membrane]	1	-1	1	1497
165968	PP2A-subunit A alpha isoform [nucleoplasm]	null	null	2	589
2470286	3,4-Hyp 5-Hyl collagen alpha-1(VII) chain N-term fragment [extracellular region]	-1	-1	17	2944
2173272	3,4-Hyp Glu-Gal-Hyl-collagen alpha-1(XX) chain [endoplasmic reticulum lumen]	1	-1	23	1284
983392	class I MHC B51 [Golgi membrane]	null	null	25	362
2173146	4-Hyp 5-Hyl-collagen alpha-1(XIX) chain [endoplasmic reticulum lumen]	1	-1	24	1142
168699	PKR [cytosol]	null	null	2	551
68344	phospho-Cdk4 [cytosol]	1	-1	2	303
193426	ACOT8 [peroxisomal matrix]	1	-1	1	319
376238	Nup85 [cytosol]	1	-1	1	656
264899	SEC61 beta [endoplasmic reticulum membrane]	1	-1	2	96
2193020	4-Hyp 5-Hyl-collagen alpha-1(XXII) chain [extracellular region]	1	-1	28	1626
210407	RIM (Rab3A interacting) [plasma membrane]	1	-1	1	1692
113838	phospho-Chk1 [nucleoplasm]	1	-1	1	476
912321	p-Y427,Y349,Y350-SHC1 [cytosol]	1	-1	1	583
167696	AP-1 sigma 1A [cytosol]	null	null	1	158
206099	14-3-3 zeta [cytosol]	1	-1	1	245
201577	Mlh1 [nucleoplasm]	1	-1	1	1241
2160467	IL4I1 [extracellular region]	1	-1	22	567
983077	class I MHC B40 [integral to lumenal side of endoplasmic reticulum membrane]	null	null	25	362
975157	p-3S,3T-IRAK1 [endosome membrane]	null	null	1	712
534994	caveolin-1 [plasma membrane]	1	-1	2	178
65942	Transforming growth factor beta 3 precursor [platelet alpha granule lumen]	1	-1	301	412
62504	Adenylosuccinate lyase  [cytosol]	1	-1	2	484
2193026	3,4-Hyp 5-Gal-Hyl collagen alpha-2(IX) chain [extracellular region]	1	-1	24	689
2186672	Collagen alpha-1(XI) chain [endoplasmic reticulum lumen]	1	-1	512	1563
164351	pChREBP (Ser 196, Thr 666) [cytosol]	1	-1	1	852
58202	Protein kinase C, epsilon type  [cytosol]	1	-1	1	737
164347	G-protein beta1 (GBB1) subunit [plasma membrane]	1	-1	2	340
71500	FBP2 [cytosol]	1	-1	1	339
59938	NADH-ubiquinone oxidoreductase B17 subunit   [mitochondrial inner membrane]	1	-1	2	128
52369	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A  [cytosol]	1	-1	2	535
391306	FKBP9 [cytosol]	1	-1	25	570
983359	class I MHC B44 [ER to Golgi transport vesicle membrane]	null	null	25	362
174347	Proteasome subunit beta type 1  [nucleoplasm]	1	-1	29	241
68771	26S protease regulatory subunit 7 [cytosol]	1	-1	2	433
2192749	4-Hyp 5-Hyl collagen alpha-2(VIII) chain [extracellular region]	1	-1	29	703
2192778	3,4-Hyp 5-Hyl-collagen alpha-1(X) chain [extracellular region]	1	-1	19	680
2268758	3,4-hydroxyprolyl-collagen alpha-1(XXVII) propeptide [extracellular region]	1	-1	625	1621
211483	HNF4G [nucleoplasm]	1	-1	1	408
71945	hnRNP K [nucleoplasm]	1	-1	1	463
939789	RGS6 [plasma membrane]	null	null	1	472
379560	YARS [cytosol]	1	-1	2	528
72012	CF I - 59 kDa subunit [nucleoplasm]	1	-1	1	471
2268738	3,4-Hyp Glu-Gal-Hyl-collagen alpha-2(XI) propeptide [extracellular region]	1	-1	28	1736
71718	aldehyde dehydrogenase, mitochondrial [mitochondrial matrix]	1	-1	18	517
264989	EXOC4 [plasma membrane]	1	-1	2	974
983360	class I MHC B41 [ER to Golgi transport vesicle membrane]	null	null	25	362
2127530	4-hydroxyprolyl collagen alpha-1(VII) chain [extracellular region]	-1	-1	17	2944
2065254	D4S-DCN [extracellular region]	1	-1	31	359
350586	OAZ3 [cytosol]	1	-1	1	187
